codigomex2,nombre,serving_size,kcal,carbohydrate,total_fat,protein,fiber,calcium,iron,ironhem,ironnohem,zinc,vit_c,thiamin,riboflavin,niacin,panto_acid,vit_b6,folic_acid,food_folate,folate_dfe,vit_b12,vit_a_rae,vit_e,vit_d_iu,vit_k,fa_sat,fa_mono,fa_poly,chole,sugars
1000,"ACEITE, DE AJONJOLI",100 g,884,0,100,0,0,0,0,,,0,0,0,0,0,0,0,,0,0,0,0,1.4,0,13.6,14.2,39.7,41.7,0,0
1001,"ACEITE, DE ALGODON",100 g,884,0,100,0,0,0,0,,,0,0,0,0,0,0,0,,0,0,0,0,35.3,0,24.7,25.9,17.8,51.9,0,0
1002,"ACEITE, DE CACAHUATE",100 g,884,0,100,0,0,0,0.03,0,0.03,0.01,0,0,0,0,0,0,,0,0,0,0,15.69,0,0.7,16.9,46.2,32,0,0
1003,"ACEITE, DE CANOLA",100 g,884,0,100,0,0,0,0,,,0,0,0,0,0,0,0,,0,0,0,0,17.46,,71.3,7.365,63.276,28.142,0,0
1004,"ACEITE, DE CANOLA",100 g,884,0,100,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,17.46,0,71.3,7.365,63.276,28.142,0,0
1005,"ACEITE, DE CARTAMO",100 g,884,0,100,0,0,0,0,,,0,0,0,0,0,0,0,,0,0,0,0,34.1,,7.1,6.203,14.355,74.623,0,0
1006,"ACEITE, DE COCO",100 g,892,0,99.06,0,0,1,0.05,0,0.05,0.02,0,0,0,0,0,0,,0,0,0,0,0.11,0,0.6,82.475,6.332,1.702,0,0
1007,"ACEITE, DE GIRASOL",100 g,884,0,100,0,0,0,0.03,0,0.03,0,0,0,0,0,0,0,,0,0,0,0,41.08,,5.4,10.1,45.4,40.1,0,0
1008,"ACEITE, DE MAIZ",100 g,900,0,100,0,0,0,0,,,0,0,0,0,0,0,0,,0,0,0,0,14.3,,1.9,13.382,29.585,57.03,0,0
1009,"ACEITE, DE OLIVA",100 g,884,0,100,0,0,1,0.56,0,0.56,0,0,0,0,0,0,0,,0,0,0,0,14.35,,60.2,13.808,72.961,10.523,0,0
1010,"ACEITE, DE SOYA",100 g,884,0,100,0,0,0,0.05,,,0.01,0,0,0,0,0,0,,0,0,0,0,8.18,,183.9,15.65,22.783,57.74,0,0
1011,ACEITE EN AEROSOL (PAM),100 g,843.75,0,93.75,0,0,0,0,,,,0,,,,,,,,,,,,,,6.25,50,21.87,0,0
1012,"ACEITE, VEGETAL (PROMEDIO)",100 g,853.9,0,95.76,0,0,0,0.02,,,0,0,0,0,0,0,0,0,0,0,0,0,14.84,0,19.37,19.327,43.674,30.437,0,0
1013,"ACEITE, VEGETAL PROMEDIO (CANOLA, MAIZ, CARTAMO, GIRASOL, SOYA Y OLIVA, PONDERADO DE ENSANUT 2016)",100 g,887.86,0,100,0,0,0.01,0.02,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,23.44,0,39.82,9.874,37.608,50.001,0,0
1014,"ACEITE, VEGETAL PROMEDIO (CARTAMO, MAIZ, GIRASOL, CANOLA, SOYA, OLIVA, ALGODON, AJONJOLI Y CACAHUATE, PONDERADO DE ENSANUT 2012)",100 g,887.32,0,99.99,0,0,0.01,0.02,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,25.93,0,32.51,9.657,33.686,53.674,0,0
1015,"ADEREZO, TODOS TIPOS",100 g,337.83,10.36,32.75,0.41,0,7,0.63,0,0.63,0.13,0,0.01,0.02,0,0,0.06,0,0,0,0,2,2.61,,56,4.99,6.315,12.941,67,0
1016,"ADEREZO, AGRIDULCE (P/ENSALADAS)",100 g,15,3.7,0,0.1,0,4,0.04,0,0.04,0.02,8.1,0.01,0,0.06,0.03,0.01,0,2,2,0,0,2.56,0,39.6,0,0,0,0,0
1017,"ADEREZO, CESAR (P/ENSALADAS)",100 g,542,3.3,57.85,2.17,0.5,48,1.08,,,0.11,0.3,0.01,0.01,0.04,0.08,0.03,0,2,2,0.03,9,4.74,5,104.8,8.79,13.5,32.86,39,0
1018,"ADEREZO, DE MOSTAZA DULCE (P/ENSALADAS)",100 g,464,23.33,40.83,0.87,0.4,12,0.29,,,0.14,0.2,0.04,0.02,0.06,0.12,0.02,0,5,5,0.05,12,3.53,6,70,5,11.46,22.84,29,0
1019,"ADEREZO, DE QUESO AZUL O ROQUEFORT (P/ENSALADAS)",100 g,484,4.77,51.1,1.37,0.4,37,0.09,,,0.21,0.7,0.01,0.1,0.1,0.39,0.04,0,5,5,0.27,14,4.28,3,85.9,8.28,13.28,27.55,31,0
1020,ADEREZO ITALIANO (P/ENSALADAS),100 g,319.22,8.33,31.67,0.22,0.22,0,0.63,0,0.63,0.13,0,0.01,0.02,0,0,0.06,,0,0,0,2,2.61,,56,2.78,0,0,67,0
1021,"ADEREZO, MIL ISLAS (P/ENSALADAS)",100 g,379,14.64,35.06,1.09,0.8,17,1.18,0,1.18,0.26,0,1.45,0.06,0.42,0,0,0,0,0,0,14,4,0,69.1,5.09,7.88,18.22,26,0
1022,"ADEREZO, RANCH (P/ENSALADAS)",100 g,430,5.9,44.54,1.32,0,28,0.3,,,0.17,0,0.01,0.09,0.05,0.27,0.03,0,4,4,0.17,15,2.22,3,134.3,6.96,9.2,25.8,26,0
1023,LARDO,100 g,902,0,100,0,0,0,0,,,0.11,0,0,0,0,0,0,0,0,0,0,0,0.6,100,0,39.2,45.1,11.2,95,0
