,nombre_del_platillo,ingredientes,kcal,carbohydrate,protein,total_fat,sugars,fiber
0,Crostada de cranberros de manzana,"3 cucharadas de mantequilla, 2 libras de manzanas Granny Smith (u otras manzanas firmes, crujientes), peladas, descuidadas, con núcleo y rodajas de 1/4 de pulgada de espesor, 1 libra de manzanas Macintosh (u otras manzanas de textura suave que se desmoronan cuando se cocinan), pelado, descuidado, con núcleo y en rodajas de 1/4 de pulgada de espesor, ½ taza de azúcar, ½ taza de arándanos secos, hojas de hojaldre congelado de 1 hoja, descongelado pero aún frío (siga direcciones del paquete), 1 clara de huevo, ligeramente batida, 1 cucharada de azúcar , 1 taza opcional: helado o crema batida ligeramente endulzada",418,60,4,18,40,5
1,Pie de manzana de la abuela Ople,"8 manzanas pequeñas Granny Smith, o según sea necesario, ½ taza de mantequilla sin sal, 3 cucharadas de harina para todo uso, hojas",387,52,2,19,0,3
2,Sarah's casera de manzana,"4 manzanas: peladas, con cólera y picada, ¾ taza de agua, ¼ de taza de azúcar blanca, ½ cucharadita de canela molida",128,32,0,0,27,4
3,Manzana crujiente,"10 tazas de manzanas para todo uso, pelado, con núcleo y en rodajas, 1 taza de azúcar blanca, 1 cucharada de harina para todo uso, 1 cucharadita de canela molida, ½ taza de agua, 1 taza de avena de cocción rápida, 1 taza de harina de uso múltiple, 1 taza azúcar morena empaquetada, ¼ cucharadita de polvo de hornear, ¼ cucharadita de bicarbonato de sodio, ½ taza de mantequilla, derretido",324,61,2,8,44,3
4,Relleno de pastel de manzana,"18 tazas de manzanas en rodajas finas, 3 cucharadas de jugo de limón, 10 tazas de agua, 4 ½ tazas de azúcar blanco, 1 taza de maicena, 2 cucharaditas de canela molida, 1 cucharadita de sal, ¼ cucharadita de nuez moscada",132,33,0,0,28,1
5,CRISP CRISPLA DE MAPILE FÁCIL,"6 manzanas: peladas, con córbidas y en rodajas, 2 cucharadas de azúcar blanca, 1 ½ cucharaditas de canela molida, dividida, 1 taza de azúcar morena, ¾ taza de avena pasada de moda, ¾ taza de harina para todo uso, ½ taza de mantequilla fría",641,99,5,25,63,8
6,Sidra de manzana fácil,"1 (64 onza fluida) Cidera de manzana de botella, 3 palitos de canela, 1 cucharadita de toda la pimienta de Jama",172,43,0,0,38,1
7,Cranberry de manzana,"2 libras de manzanas Granny Smith: peladas, con núcleo y en rodajas finas, ¾ taza de arándanos, ¼ de taza de azúcar blanca, 1 cucharada de canela molida, 1 cucharadita de nuez moscada",288,43,2,12,32,4
8,Albóndigas de manzana a la antigua,"1 pastel de receta para pastel de doble corteza, 6 manzanas grandes de abuelita, pelado y con núcleo, ½ taza de mantequilla, ¾ taza de azúcar morena, 1 cucharadita de canela molida, ½ cucharadita extracto",927,148,5,35,115,7
9,Manzanas fritas del sur,"½ taza de mantequilla, ½ taza de azúcar blanca, 2 cucharadas de canela molida, 4 manzanas Granny Smith - peladas, con núcleo y rodajas",391,45,1,23,39,5
10,Pérdidas de balón de manzanas,"2 cucharadas de jugo de limón, 4 tazas de agua, 4 manzanas Granny Smith - peladas, con núcleo y en rodajas, 2 cucharadas de mantequilla, 1 taza de azúcar morena, 1 cucharadita de canela molida, 1 cucharada de maíz, 1 cucharada de agua, 1 (17.25 onzas) paquete congelado congelado Hojas de pastelería, descongeladas, 1 taza de azúcar de los confitores, 1 cucharada de leche, 1 cucharadita de extracto de vainilla",574,80,5,26,50,2
11,Apple Crisp - Perfecto y fácil,"2 ½ tazas de manzanas: peladas, con núcleo y rodajas, 1 taza de harina de uso múltiple, 1 taza de azúcar blanca, ½ cucharadita de canela molida, ¼ cucharadita de sal, ½ taza de mantequilla, suavizado",376,56,2,16,38,2
12,Las mejores manzanas de caramelo,"8 manzanas tartas grandes, 8 palillos de madera para asas, 2 tazas de azúcar morena empaquetada, 1 (14 onzas) lata de leche condensada endulzada, 1 taza de jarabe de maíz ligero, 1 taza de mantequilla, 2 cucharaditas de extracto de vainilla",840,142,5,28,113,5
13,sopa mulligatawny,"½ taza de cebolla picada, 2 tallos de apio, picado, 1 zanahoria, cortado en cubitos, ¼ de taza de mantequilla, 1 ½ cucharadas , 1 pechuga de pollo sin piel y sin piel: corte en cubos, 1 tomillo secado, sal y pimienta negra molida al gusto, ½ taza de crema espesa, calentada",228,14,7,16,3,1
14,Manzanas salteadas,"¼ de taza de mantequilla, 4 manzanas tartas grandes: peladas, con núcleo y rodajas de 1/4 de pulgada de espesor, ½ taza de agua fría, 2 cucharaditas de maíz, ½ taza de azúcar morena, ½ cucharadita de canela molida",150,24,0,6,20,3
15,Sidra de manzana casera,"10 manzanas grandes, acuarteladas, agua, para cubrir, ¾ taza de azúcar blanco, 1 cucharada de canela molida, 1 cucharada de pimienta de Jama",88,22,0,0,18,2
16,Llenado de pastel de manzana enlatada,"4 ½ tazas de azúcar blanca, 1 taza de maicena, 2 cucharaditas de canela molida, ¼ cucharadita de nuez moscada, 10 tazas de agua, 2 cucharaditas de sal, 3 cucharadas de jugo de limón, 2 gotas colorante de comida amarilla, 6 libras manzanas",100,25,0,0,21,1
17,Pastel de manzana fácil,"1 (14.1 onzas) Pastel de paquete para un pastel de doble corteza de 9 pulgadas, ¾ taza de azúcar blanca, o más al gusto, 1 cucharadita de canela molida, 6 tazas de manzanas en rodajas finas, 1 cucharada de mantequilla",257,42,2,9,29,3
18,Pastel de migas de manzana,"6 tazas de manzanas en rodajas finas, 1 cucharada de jugo de limón (opcional), ¾ taza de azúcar blanca, 2 cucharadas de harina de uso múltiple, ½ cucharadita de canela molida, ? cucharadita de nuez moscada, ½ taza (opcional), ½ tazas de nuez picado (opcional) , 1 (9 pulgadas) concha de pastel, ½ taza de harina para todo uso, ½ taza de azúcar morena empaquetada, 3 cucharadas de mantequilla",431,70,4,15,49,4
19,Manzanas de caramelo,"6 manzanas, 6 barras de madera, spray de cocina, paquete de 1 (14 onzas) caramelos envueltos individualmente, sin envolver, 2 cucharadas de leche",350,70,4,6,57,3
20,pastel de manzana aleman,"1 taza de aceite vegetal, 2 huevos, 2 tazas de azúcar blanca, 1 cucharadita de extracto de vainilla, 2 tazas de harina para todo uso, 2 cucharaditas de canela molida, 1 cucharadita de bicarbonato de sodio, ½ cucharadita de sal, 4 tazas de manzanas - peladas, con núcleo y cubierta cubierta",210,28,2,10,19,1
21,"Impresionante salchicha, relleno de manzana y arándano","3 ¾ tazas de pan blanco en cubos, 1 ½ tazas de pan de trigo integral, salchicha de pavo molido de 1 libra, 1 taza de cebolla picada, ¾ taza de apio picado, 2 ½ cucharaditas Deliciosa manzana, córnida y picada, ¾ taza de arándanos secos, ? Copa de perejil fresco picado, 1 hígado de pavo cocido, finamente picado, ¾ taza de caldo de pavo, 4 cucharadas de mantequilla sin sal, derretida",248,22,13,12,9,2
22,Pasteles manuales,"2 cucharadas de mantequilla, 2 manzanas verdes grandes: peladas, con núcleo y cortadas en trozos, 2 cucharadas de azúcar morena, ¼ taza de azúcar blanca, ¼ cucharadita de sal, 1 ½ cucharaditas de canela molida (Opcional), masa de pastel preparada de 1 libra, cortado en 4 piezas, 1 huevo, 2 cucharaditas de leche, 1 cucharadita de azúcar blanca o según sea necesario",742,82,9,42,31,6
23,Increíble mantequilla de manzana,"10 libras de manzanas, parcialmente, 4 tazas de jugo de manzana sin azúcar, 1 taza de azúcar blanca, 1 cucharada de vinagre de manzana, 1 ½ cucharaditas de canela molida, ½ cucharadita de clavo molido, ½ cucharadita",80,20,0,0,16,2
24,Muffins fáciles de canela de manzana,"1 ½ tazas de harina para todo uso, ¾ taza de azúcar blanca, 2 cucharaditas de polvo de hornear, 1 cucharadita de canela molida, ½ cucharadita de sal, 1 huevo, ? taza de aceite vegetal, ? taza de leche, 2 manzanas - peladas, córradas y picadas",601,79,6,29,47,3
